city,date,ticker,side,p_model,cost,n,ev_pred,won,pnl
DEN,2026-08-03,KXHIGHDEN-26AUG03-B95.5,yes,0.203,0.03,12,0.171,False,-0.39
DEN,2026-08-03,KXHIGHDEN-26AUG03-B101.5,no,0.882,0.58,27,0.285,False,-16.13
DEN,2026-08-02,KXHIGHDEN-26AUG02-B98.5,yes,0.283,0.08,21,0.197,False,-1.79
DEN,2026-08-02,KXHIGHDEN-26AUG02-B102.5,no,0.942,0.56,37,0.364,False,-21.36
DEN,2026-08-02,KXHIGHDEN-26AUG02-B100.5,no,0.831,0.55,5,0.263,True,2.16
DEN,2026-08-01,KXHIGHDEN-26AUG01-B94.5,no,0.844,0.57,27,0.257,False,-15.86
DEN,2026-08-01,KXHIGHDEN-26AUG01-B92.5,no,0.725,0.57,27,0.138,True,11.14
DEN,2026-08-01,KXHIGHDEN-26AUG01-B90.5,yes,0.279,0.07,3,0.204,False,-0.23
DEN,2026-07-31,KXHIGHDEN-26JUL31-B91.5,no,0.956,0.56,15,0.379,True,6.34
DEN,2026-07-31,KXHIGHDEN-26JUL31-B89.5,no,0.857,0.58,4,0.26,False,-2.39
DEN,2026-07-31,KXHIGHDEN-26JUL31-B87.5,yes,0.267,0.08,1,0.181,False,-0.09
DEN,2026-07-30,KXHIGHDEN-26JUL30-T89,yes,0.277,0.03,49,0.245,False,-1.57
DEN,2026-07-30,KXHIGHDEN-26JUL30-B95.5,no,0.962,0.81,29,0.141,False,-23.81
DEN,2026-07-30,KXHIGHDEN-26JUL30-B93.5,no,0.87,0.58,68,0.273,True,27.4
DEN,2026-07-30,KXHIGHDEN-26JUL30-B91.5,no,0.743,0.7,17,0.028,True,4.85
DEN,2026-07-30,KXHIGHDEN-26JUL30-B89.5,yes,0.291,0.06,154,0.227,False,-9.85
DEN,2026-07-29,KXHIGHDEN-26JUL29-T93,no,0.955,0.77,51,0.173,True,11.09
DEN,2026-07-29,KXHIGHDEN-26JUL29-T86,yes,0.088,0.02,24,0.067,False,-0.52
DEN,2026-07-29,KXHIGHDEN-26JUL29-B92.5,no,0.87,0.52,51,0.332,True,23.58
DEN,2026-07-29,KXHIGHDEN-26JUL29-B88.5,yes,0.291,0.04,26,0.248,False,-1.11
DEN,2026-07-29,KXHIGHDEN-26JUL29-B86.5,yes,0.189,0.03,18,0.157,False,-0.58
DEN,2026-07-28,KXHIGHDEN-26JUL28-T93,no,0.991,0.59,67,0.384,True,26.33
DEN,2026-07-28,KXHIGHDEN-26JUL28-B92.5,no,0.956,0.52,43,0.418,False,-23.12
DEN,2026-07-28,KXHIGHDEN-26JUL28-B90.5,yes,0.143,0.11,130,0.026,False,-15.2
DEN,2026-07-28,KXHIGHDEN-26JUL28-B88.5,yes,0.267,0.04,29,0.224,False,-1.24
DEN,2026-07-28,KXHIGHDEN-26JUL28-B86.5,yes,0.286,0.03,46,0.254,False,-1.48
DEN,2026-07-27,KXHIGHDEN-26JUL27-T93,yes,0.432,0.21,180,0.21,False,-39.9
DEN,2026-07-27,KXHIGHDEN-26JUL27-B95.5,no,0.811,0.65,61,0.145,True,20.37
DEN,2026-07-27,KXHIGHDEN-26JUL27-B93.5,no,0.709,0.6,47,0.092,False,-28.99
DEN,2026-07-26,KXHIGHDEN-26JUL26-B98.5,yes,0.296,0.03,33,0.264,False,-1.06
DEN,2026-07-26,KXHIGHDEN-26JUL26-B96.5,yes,0.209,0.02,11,0.188,False,-0.24
DEN,2026-07-26,KXHIGHDEN-26JUL26-B102.5,no,0.888,0.4,100,0.471,False,-41.68
DEN,2026-07-26,KXHIGHDEN-26JUL26-B100.5,no,0.76,0.68,30,0.064,True,9.14
DEN,2026-07-25,KXHIGHDEN-26JUL25-T101,no,0.943,0.87,16,0.065,True,1.95
DEN,2026-07-25,KXHIGHDEN-26JUL25-B96.5,yes,0.282,0.03,6,0.25,False,-0.2
DEN,2026-07-25,KXHIGHDEN-26JUL25-B94.5,yes,0.169,0.03,8,0.137,False,-0.26
DEN,2026-07-25,KXHIGHDEN-26JUL25-B100.5,no,0.851,0.48,30,0.353,False,-14.93
DEN,2026-07-24,KXHIGHDEN-26JUL24-T96,no,0.965,0.33,40,0.619,True,26.18
DEN,2026-07-24,KXHIGHDEN-26JUL24-B95.5,no,0.888,0.75,33,0.125,False,-25.19
DEN,2026-07-24,KXHIGHDEN-26JUL24-B93.5,yes,0.24,0.05,44,0.187,False,-2.35
DEN,2026-07-24,KXHIGHDEN-26JUL24-B91.5,yes,0.296,0.03,14,0.264,False,-0.45
DEN,2026-07-23,KXHIGHDEN-26JUL23-T89,no,0.975,0.86,46,0.107,True,6.05
DEN,2026-07-23,KXHIGHDEN-26JUL23-B88.5,no,0.91,0.57,52,0.323,False,-30.54
DEN,2026-07-23,KXHIGHDEN-26JUL23-B86.5,no,0.784,0.71,56,0.06,True,15.43
DEN,2026-07-23,KXHIGHDEN-26JUL23-B84.5,yes,0.297,0.06,15,0.233,False,-0.96
DEN,2026-07-22,KXHIGHDEN-26JUL22-T95,no,0.877,0.45,48,0.41,True,25.56
DEN,2026-07-22,KXHIGHDEN-26JUL22-B94.5,no,0.778,0.62,64,0.141,False,-40.74
DEN,2026-07-22,KXHIGHDEN-26JUL22-B92.5,yes,0.297,0.07,81,0.222,False,-6.04
DEN,2026-07-22,KXHIGHDEN-26JUL22-B90.5,yes,0.228,0.03,23,0.196,False,-0.74
DEN,2026-07-22,KXHIGHDEN-26JUL22-B88.5,yes,0.101,0.03,29,0.069,False,-0.93
DEN,2026-07-21,KXHIGHDEN-26JUL21-T89,yes,0.088,0.02,14,0.067,False,-0.3
DEN,2026-07-21,KXHIGHDEN-26JUL21-B95.5,no,0.87,0.56,29,0.292,False,-16.75
DEN,2026-07-21,KXHIGHDEN-26JUL21-B93.5,no,0.743,0.58,68,0.146,True,27.4
DEN,2026-07-21,KXHIGHDEN-26JUL21-B91.5,yes,0.291,0.05,8,0.237,False,-0.43
DEN,2026-07-21,KXHIGHDEN-26JUL21-B89.5,yes,0.189,0.04,11,0.147,False,-0.47
DEN,2026-07-20,KXHIGHDEN-26JUL20-T95,yes,0.206,0.02,7,0.185,False,-0.15
DEN,2026-07-20,KXHIGHDEN-26JUL20-B99.5,no,0.831,0.37,45,0.444,False,-17.39
DEN,2026-07-20,KXHIGHDEN-26JUL20-B97.5,yes,0.283,0.07,31,0.208,False,-2.32
DEN,2026-07-20,KXHIGHDEN-26JUL20-B101.5,no,0.942,0.75,53,0.179,True,12.55
DEN,2026-07-19,KXHIGHDEN-26JUL19-B99.5,no,0.965,0.69,22,0.26,True,6.49
DEN,2026-07-19,KXHIGHDEN-26JUL19-B97.5,no,0.876,0.43,93,0.429,False,-41.59
DEN,2026-07-19,KXHIGHDEN-26JUL19-B95.5,yes,0.252,0.07,16,0.177,False,-1.2
DEN,2026-07-19,KXHIGHDEN-26JUL19-B93.5,yes,0.293,0.04,4,0.25,False,-0.18
DEN,2026-07-18,KXHIGHDEN-26JUL18-T91,yes,0.771,0.03,6,0.739,False,-0.2
DEN,2026-07-18,KXHIGHDEN-26JUL18-B95.5,no,0.99,0.71,56,0.265,True,15.43
DEN,2026-07-18,KXHIGHDEN-26JUL18-B93.5,no,0.946,0.41,92,0.519,False,-39.28
DEN,2026-07-18,KXHIGHDEN-26JUL18-B91.5,yes,0.163,0.08,44,0.077,False,-3.75
DEN,2026-07-17,KXHIGHDEN-26JUL17-B96.5,no,0.997,0.97,17,0.025,True,0.47
DEN,2026-07-17,KXHIGHDEN-26JUL17-B94.5,no,0.976,0.66,38,0.301,True,12.32
DEN,2026-07-17,KXHIGHDEN-26JUL17-B92.5,no,0.905,0.51,16,0.377,False,-8.44
DEN,2026-07-17,KXHIGHDEN-26JUL17-B90.5,yes,0.222,0.12,10,0.095,False,-1.28
DEN,2026-07-16,KXHIGHDEN-26JUL16-T89,yes,0.655,0.03,15,0.623,False,-0.49
