city,date,ticker,side,p_model,cost,n,ev_pred,won,pnl
CHI,2026-05-31,KXHIGHCHI-26MAY31-B80.5,yes,0.208,0.02,14,0.187,False,-0.3
CHI,2026-05-31,KXHIGHCHI-26MAY31-B78.5,yes,0.266,0.02,49,0.244,False,-1.05
CHI,2026-05-31,KXHIGHCHI-26MAY31-B76.5,yes,0.218,0.11,132,0.101,False,-15.43
CHI,2026-05-31,KXHIGHCHI-26MAY31-B74.5,no,0.886,0.51,78,0.358,False,-41.15
CHI,2026-05-30,KXHIGHCHI-26MAY30-T77,yes,0.366,0.04,194,0.324,False,-8.29
CHI,2026-05-30,KXHIGHCHI-26MAY30-B74.5,no,0.787,0.42,62,0.35,False,-27.1
CHI,2026-05-29,KXHIGHCHI-26MAY29-T80,no,0.977,0.93,43,0.043,True,2.81
CHI,2026-05-29,KXHIGHCHI-26MAY29-B86.5,yes,0.249,0.03,51,0.217,False,-1.64
CHI,2026-05-29,KXHIGHCHI-26MAY29-B82.5,no,0.833,0.49,81,0.326,True,39.89
CHI,2026-05-29,KXHIGHCHI-26MAY29-B80.5,no,0.93,0.88,45,0.042,True,5.06
CHI,2026-05-28,KXHIGHCHI-26MAY28-T73,yes,0.366,0.21,190,0.145,False,-42.11
CHI,2026-05-28,KXHIGHCHI-26MAY28-B72.5,no,0.734,0.53,75,0.187,False,-41.06
CHI,2026-05-28,KXHIGHCHI-26MAY28-B70.5,no,0.787,0.73,54,0.043,True,13.83
CHI,2026-05-28,KXHIGHCHI-26MAY28-B68.5,yes,0.11,0.05,114,0.056,False,-6.08
CHI,2026-05-27,KXHIGHCHI-26MAY27-T86,yes,0.846,0.04,301,0.803,False,-12.85
CHI,2026-05-27,KXHIGHCHI-26MAY27-B85.5,no,0.89,0.73,54,0.147,True,13.83
CHI,2026-05-27,KXHIGHCHI-26MAY27-B83.5,no,0.964,0.59,67,0.357,True,26.33
CHI,2026-05-27,KXHIGHCHI-26MAY27-B81.5,no,0.992,0.84,47,0.143,False,-39.93
CHI,2026-05-26,KXHIGHCHI-26MAY26-B89.5,yes,0.213,0.02,1,0.191,False,-0.03
CHI,2026-05-26,KXHIGHCHI-26MAY26-B85.5,no,0.787,0.44,15,0.33,True,8.14
CHI,2026-05-26,KXHIGHCHI-26MAY26-B83.5,no,0.89,0.86,32,0.022,False,-27.79
CHI,2026-05-25,KXHIGHCHI-26MAY25-T82,yes,0.093,0.06,183,0.029,False,-11.71
CHI,2026-05-25,KXHIGHCHI-26MAY25-B86.5,yes,0.249,0.09,155,0.153,False,-14.84
CHI,2026-05-25,KXHIGHCHI-26MAY25-B84.5,no,0.746,0.42,95,0.309,False,-41.52
CHI,2026-05-25,KXHIGHCHI-26MAY25-B82.5,no,0.833,0.75,53,0.07,True,12.55
CHI,2026-05-24,KXHIGHCHI-26MAY24-T79,yes,0.217,0.02,15,0.195,False,-0.33
CHI,2026-05-24,KXHIGHCHI-26MAY24-B78.5,yes,0.242,0.15,122,0.083,False,-19.39
CHI,2026-05-24,KXHIGHCHI-26MAY24-B76.5,no,0.741,0.5,80,0.224,True,38.6
CHI,2026-05-23,KXHIGHCHI-26MAY23-B73.5,yes,0.262,0.04,110,0.22,False,-4.7
CHI,2026-05-23,KXHIGHCHI-26MAY23-B69.5,no,0.865,0.59,67,0.258,False,-40.67
CHI,2026-05-23,KXHIGHCHI-26MAY23-B67.5,no,0.95,0.82,48,0.12,True,8.14
CHI,2026-05-22,KXHIGHCHI-26MAY22-T71,yes,0.305,0.03,20,0.273,False,-0.65
CHI,2026-05-22,KXHIGHCHI-26MAY22-B70.5,yes,0.262,0.12,333,0.135,False,-42.43
CHI,2026-05-22,KXHIGHCHI-26MAY22-B68.5,no,0.765,0.58,68,0.168,True,27.4
CHI,2026-05-22,KXHIGHCHI-26MAY22-B66.5,no,0.865,0.69,57,0.16,False,-40.19
CHI,2026-05-22,KXHIGHCHI-26MAY22-B64.5,no,0.95,0.92,43,0.025,True,3.21
CHI,2026-05-21,KXHIGHCHI-26MAY21-T65,yes,0.11,0.02,40,0.089,False,-0.86
CHI,2026-05-21,KXHIGHCHI-26MAY21-B64.5,yes,0.182,0.03,166,0.15,False,-5.32
CHI,2026-05-21,KXHIGHCHI-26MAY21-B62.5,yes,0.261,0.11,363,0.144,False,-42.42
CHI,2026-05-21,KXHIGHCHI-26MAY21-B60.5,no,0.761,0.67,59,0.076,False,-40.45
CHI,2026-05-21,KXHIGHCHI-26MAY21-B58.5,no,0.86,0.71,56,0.135,True,15.43
CHI,2026-05-20,KXHIGHCHI-26MAY20-T57,yes,0.306,0.02,206,0.284,False,-4.41
CHI,2026-05-20,KXHIGHCHI-26MAY20-B63.5,no,0.951,0.91,43,0.035,True,3.62
CHI,2026-05-20,KXHIGHCHI-26MAY20-B61.5,no,0.866,0.14,122,0.717,False,-18.11
CHI,2026-05-20,KXHIGHCHI-26MAY20-B59.5,yes,0.235,0.04,581,0.192,False,-24.81
CHI,2026-05-20,KXHIGHCHI-26MAY20-B57.5,yes,0.262,0.02,1861,0.241,False,-39.78
CHI,2026-05-19,KXHIGHCHI-26MAY19-T78,yes,0.474,0.18,105,0.283,False,-19.99
CHI,2026-05-19,KXHIGHCHI-26MAY19-B80.5,no,0.828,0.64,62,0.172,True,21.32
CHI,2026-05-19,KXHIGHCHI-26MAY19-B78.5,no,0.743,0.59,67,0.136,False,-40.67
CHI,2026-05-18,KXHIGHCHI-26MAY18-T82,no,0.392,0.09,444,0.297,False,-42.51
CHI,2026-05-18,KXHIGHCHI-26MAY18-B84.5,yes,0.119,0.02,68,0.098,False,-1.46
CHI,2026-05-18,KXHIGHCHI-26MAY18-B82.5,yes,0.222,0.07,488,0.147,False,-36.39
CHI,2026-05-17,KXHIGHCHI-26MAY17-T91,yes,0.11,0.02,15,0.089,False,-0.33
CHI,2026-05-17,KXHIGHCHI-26MAY17-B90.5,yes,0.182,0.03,36,0.15,False,-1.16
CHI,2026-05-17,KXHIGHCHI-26MAY17-B88.5,yes,0.261,0.07,481,0.186,False,-35.87
CHI,2026-05-17,KXHIGHCHI-26MAY17-B86.5,no,0.761,0.45,88,0.294,False,-41.13
CHI,2026-05-17,KXHIGHCHI-26MAY17-B84.5,no,0.86,0.73,54,0.116,True,13.83
CHI,2026-05-16,KXHIGHCHI-26MAY16-T81,yes,0.38,0.03,399,0.348,False,-12.79
CHI,2026-05-16,KXHIGHCHI-26MAY16-B87.5,no,0.966,0.92,43,0.041,True,3.21
CHI,2026-05-16,KXHIGHCHI-26MAY16-B85.5,no,0.896,0.67,59,0.21,True,18.55
CHI,2026-05-16,KXHIGHCHI-26MAY16-B83.5,no,0.792,0.61,65,0.165,False,-40.74
CHI,2026-05-16,KXHIGHCHI-26MAY16-B81.5,yes,0.266,0.12,142,0.138,False,-18.09
CHI,2026-05-15,KXHIGHCHI-26MAY15-T71,yes,0.111,0.04,86,0.068,False,-3.68
CHI,2026-05-15,KXHIGHCHI-26MAY15-B77.5,no,0.86,0.76,52,0.088,True,11.81
CHI,2026-05-15,KXHIGHCHI-26MAY15-B75.5,no,0.762,0.67,59,0.076,False,-40.45
CHI,2026-05-15,KXHIGHCHI-26MAY15-B71.5,yes,0.183,0.05,131,0.13,False,-6.99
MIA,2026-07-17,KXHIGHMIA-26JUL17-T97,yes,0.405,0.04,20,0.363,False,-0.86
MIA,2026-07-17,KXHIGHMIA-26JUL17-B96.5,yes,0.396,0.18,222,0.205,False,-42.26
MIA,2026-07-17,KXHIGHMIA-26JUL17-B94.5,no,0.828,0.49,81,0.32,False,-41.11
MIA,2026-07-17,KXHIGHMIA-26JUL17-B92.5,no,0.974,0.82,48,0.144,True,8.14
MIA,2026-07-17,KXHIGHMIA-26JUL17-B90.5,no,0.999,0.96,41,0.036,True,1.52
MIA,2026-07-16,KXHIGHMIA-26JUL16-T90,yes,0.157,0.02,28,0.135,False,-0.6
MIA,2026-07-16,KXHIGHMIA-26JUL16-B96.5,no,0.988,0.74,54,0.235,False,-40.69
MIA,2026-07-16,KXHIGHMIA-26JUL16-B94.5,no,0.89,0.46,86,0.412,True,44.94
MIA,2026-07-16,KXHIGHMIA-26JUL16-B92.5,yes,0.347,0.2,200,0.135,False,-42.24
MIA,2026-07-16,KXHIGHMIA-26JUL16-B90.5,yes,0.374,0.02,1230,0.353,False,-26.29
MIA,2026-07-15,KXHIGHMIA-26JUL15-B96.5,yes,0.151,0.11,183,0.034,False,-21.39
MIA,2026-07-15,KXHIGHMIA-26JUL15-B94.5,no,0.617,0.42,62,0.18,False,-27.1
