series,ticker,side,ask,hour_utc,secs_left,won,profit
KXBTC15M,KXBTC15M-26JUL231130-30,yes,94,15,540,True,2.67
KXBTC15M,KXBTC15M-26JUL221330-30,no,92,17,540,True,3.64
KXBTC15M,KXBTC15M-26JUL221300-00,no,90,17,480,True,4.65
KXBTC15M,KXBTC15M-26JUL221245-45,yes,95,16,600,True,2.2
KXBTC15M,KXBTC15M-26JUL221215-15,yes,94,16,180,True,2.67
KXBTC15M,KXBTC15M-26JUL221145-45,no,94,15,180,True,2.67
KXBTC15M,KXBTC15M-26JUL221115-15,yes,93,15,360,True,3.15
KXBTC15M,KXBTC15M-26JUL211245-45,yes,95,16,180,True,2.2
KXBTC15M,KXBTC15M-26JUL211215-15,no,91,16,180,True,4.14
KXBTC15M,KXBTC15M-26JUL211115-15,no,93,15,600,True,3.15
KXBTC15M,KXBTC15M-26JUL191315-15,yes,95,17,240,True,2.2
KXBTC15M,KXBTC15M-26JUL191245-45,no,90,16,540,True,4.65
KXBTC15M,KXBTC15M-26JUL191230-30,yes,95,16,240,True,2.2
KXBTC15M,KXBTC15M-26JUL191215-15,no,94,16,240,True,2.67
KXBTC15M,KXBTC15M-26JUL191130-30,no,93,15,300,True,3.15
KXBTC15M,KXBTC15M-26JUL191115-15,no,92,15,180,True,3.64
KXBTC15M,KXBTC15M-26JUL191100-00,yes,91,15,540,True,4.14
KXBTC15M,KXBTC15M-26JUL181200-00,yes,93,16,540,True,3.15
KXBTC15M,KXBTC15M-26JUL171300-00,yes,95,17,480,True,2.2
KXBTC15M,KXBTC15M-26JUL171230-30,no,94,16,240,True,2.67
KXBTC15M,KXBTC15M-26JUL171115-15,no,94,15,360,True,2.67
KXBTC15M,KXBTC15M-26JUL161315-15,no,92,17,540,True,3.64
KXBTC15M,KXBTC15M-26JUL161300-00,yes,93,17,360,True,3.15
KXBTC15M,KXBTC15M-26JUL161215-15,no,95,16,360,True,2.2
KXBTC15M,KXBTC15M-26JUL161115-15,no,90,15,240,True,4.65
KXBTC15M,KXBTC15M-26JUL151300-00,yes,93,17,480,True,3.15
KXBTC15M,KXBTC15M-26JUL151215-15,no,91,16,540,True,4.14
KXBTC15M,KXBTC15M-26JUL151130-30,no,94,15,240,False,-45
KXBTC15M,KXBTC15M-26JUL141345-45,no,95,17,300,True,2.2
KXBTC15M,KXBTC15M-26JUL141330-30,no,95,17,300,True,2.2
KXBTC15M,KXBTC15M-26JUL141145-45,yes,93,15,600,True,3.15
KXBTC15M,KXBTC15M-26JUL141130-30,yes,91,15,420,True,4.14
KXBTC15M,KXBTC15M-26JUL131345-45,no,90,17,300,True,4.65
KXBTC15M,KXBTC15M-26JUL131245-45,no,92,16,360,False,-45
KXBTC15M,KXBTC15M-26JUL131230-30,no,95,16,480,True,2.2
KXBTC15M,KXBTC15M-26JUL131145-45,no,92,15,420,True,3.64
KXBTC15M,KXBTC15M-26JUL121245-45,no,95,16,420,True,2.2
KXBTC15M,KXBTC15M-26JUL121145-45,no,90,15,420,True,4.65
KXBTC15M,KXBTC15M-26JUL121100-00,yes,94,15,600,True,2.67
KXBTC15M,KXBTC15M-26JUL111345-45,yes,91,17,420,True,4.14
KXBTC15M,KXBTC15M-26JUL111315-15,yes,94,17,300,True,2.67
KXBTC15M,KXBTC15M-26JUL111230-30,yes,92,16,180,True,3.64
KXBTC15M,KXBTC15M-26JUL111130-30,no,92,15,360,True,3.64
KXBTC15M,KXBTC15M-26JUL111100-00,no,92,15,420,True,3.64
KXBTC15M,KXBTC15M-26JUL101245-45,no,95,16,300,True,2.2
KXBTC15M,KXBTC15M-26JUL101200-00,yes,95,16,180,True,2.2
KXBTC15M,KXBTC15M-26JUL101145-45,no,91,15,360,True,4.14
KXBTC15M,KXBTC15M-26JUL091330-30,yes,91,17,480,True,4.14
KXBTC15M,KXBTC15M-26JUL091245-45,yes,93,16,240,True,3.15
KXBTC15M,KXBTC15M-26JUL091115-15,yes,93,15,240,True,3.15
KXBTC15M,KXBTC15M-26JUL081345-45,yes,92,17,300,False,-45
KXBTC15M,KXBTC15M-26JUL081330-30,yes,95,17,360,True,2.2
KXBTC15M,KXBTC15M-26JUL081245-45,no,95,16,420,False,-45
KXBTC15M,KXBTC15M-26JUL081230-30,yes,93,16,360,True,3.15
KXBTC15M,KXBTC15M-26JUL081200-00,yes,93,16,360,True,3.15
KXBTC15M,KXBTC15M-26JUL071315-15,yes,93,17,300,True,3.15
KXBTC15M,KXBTC15M-26JUL071200-00,yes,91,16,480,True,4.14
KXBTC15M,KXBTC15M-26JUL071145-45,yes,90,15,300,True,4.65
KXBTC15M,KXBTC15M-26JUL071100-00,yes,94,15,540,True,2.67
KXBTC15M,KXBTC15M-26JUL061345-45,no,95,17,420,True,2.2
KXBTC15M,KXBTC15M-26JUL061315-15,yes,93,17,240,True,3.15
KXBTC15M,KXBTC15M-26JUL061245-45,yes,91,16,300,True,4.14
KXBTC15M,KXBTC15M-26JUL061115-15,yes,95,15,540,True,2.2
KXBTC15M,KXBTC15M-26JUL051330-30,yes,90,17,180,False,-45
KXBTC15M,KXBTC15M-26JUL051315-15,yes,92,17,480,True,3.64
KXBTC15M,KXBTC15M-26JUL051145-45,yes,90,15,240,False,-45
KXBTC15M,KXBTC15M-26JUL051115-15,yes,93,15,480,True,3.15
KXBTC15M,KXBTC15M-26JUL041345-45,yes,92,17,600,True,3.64
KXBTC15M,KXBTC15M-26JUL041330-30,yes,91,17,420,True,4.14
KXBTC15M,KXBTC15M-26JUL041215-15,no,93,16,240,True,3.15
KXBTC15M,KXBTC15M-26JUL041115-15,yes,95,15,180,True,2.2
KXBTC15M,KXBTC15M-26JUL031345-45,yes,91,17,240,True,4.14
KXBTC15M,KXBTC15M-26JUL031200-00,yes,93,16,240,True,3.15
KXBTC15M,KXBTC15M-26JUL021345-45,no,94,17,180,True,2.67
